"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","LIVE.DEAD.Blue.A","BV421.A","eFluor.450.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","UV.A","Violet.A","Blue.A","YellowGreen.A","Red.A","UV...Violet...Blue...YellowGreen...Red.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"1",0.0424,465964,522686.969,1169096,1390666.13,268082,307569.688,1235.95813,1347.00366,2765.10229,10046.8232,1270.47302,934.633667,1182.26575,1913.60498,431.824677,4564.45117,8558.58496,471.699585,618.288818,-1160.9109,36914.625,1051.24365,1481.93738,2553.56348,530.744202,448.50412,72617.3047,"(-172.35, 444.57, 480.77, 860.18, 1379.15, 2291.44, 4234.94, 2425.36, 2057.92, 2069.73, 855.85, 817.08, 522.86, 1402.6, 3821.88, 2884.58)","(1603.49, 3474.01, 5441.2, 11351.66, 11096.39, 9383.18, 9565.49, 5561.35, 5195.86, 8592.14, 3285.02, 2395.71, 3260, 4423.16, 12159.94, 5550.19)","(6056.46, 5264.45, 11242.27, 9686.51, 11865.54, 20233.91, 9701.32, 7183.35, 5788.39, 3000.97, 2129.07, 2693.89, 3015.86, 3107.75)","(11542.2, 16016.42, 37430.68, 16849.04, 10920.71, 9147.81, 8741.99, 8512.1, 22054.6, 11329.01)","(2397.64, 2578.88, 1565.14, 3026.21, 5406.97, 32032.97, 74353.91, 32920.25)","(-172.35, 444.57, 480.77, 860.18, 1379.15, 2291.44, 4234.94, 2425.36, 2057.92, 2069.73, 855.85, 817.08, 522.86, 1402.6, 3821.88, 2884.58, 1603.49, 3474.01, 5441.2, 11351.66, 11096.39, 9383.18, 9565.49, 5561.35, 5195.86, 8592.14, 3285.02, 2395.71, 3260, 4423.16, 12159.94, 5550.19, 6056.46, 5264.45, 11242.27, 9686.51, 11865.54, 20233.91, 9701.32, 7183.35, 5788.39, 3000.97, 2129.07, 2693.89, 3015.86, 3107.75, 11542.2, 16016.42, 37430.68, 16849.04, 10920.71, 9147.81, 8741.99, 8512.1, 22054.6, 11329.01, 2397.64, 2578.88, 1565.14, 3026.21, 5406.97, 32032.97, 74353.91, 32920.25)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"2",0.2297,664750,770720.75,1264396,1610648.38,530565,628191.5,1704.84082,1515.59985,-1414.2819,10007.3369,-829.19104,71935.0234,1200.52966,10018.876,1074.08447,2719.08643,5875.67822,15.1992493,127.131104,-629.77216,-609.21301,2459.89453,1452.26208,8618.3877,1884.25769,406.167572,46440.6914,"(113.64, 147.71, 728.18, 1636.44, 2544.43, 3683.08, 5828.77, 3947.31, 15440.53, 6510.48, 2455.8, 1962.03, 2024.61, 2792.16, 4304.38, 2798.61)","(9959.21, 8721.62, 9771.52, 11972.37, 10719.48, 8301.45, 11049.05, 74949.15, 46072.93, 41459.61, 14798.68, 9909.13, 14644.98, 9884.72, 15511.67, 7276.68)","(2785.18, 5850.01, 8106.21, 10792.41, 7174.17, 5732.08, 2092.66, 1428.56, 2084.5, 1637.24, 996.22, 3172.84, 5284.73, 4950.61)","(39934.41, 16857.7, 13637.12, 8809.02, 4639.95, 3400.44, 5870.12, 6575.54, 20844.41, 11787.31)","(2888.63, 3009.39, 3593.8, 4883.93, 6026.85, 22824.96, 48866.25, 22813.85)","(113.64, 147.71, 728.18, 1636.44, 2544.43, 3683.08, 5828.77, 3947.31, 15440.53, 6510.48, 2455.8, 1962.03, 2024.61, 2792.16, 4304.38, 2798.61, 9959.21, 8721.62, 9771.52, 11972.37, 10719.48, 8301.45, 11049.05, 74949.15, 46072.93, 41459.61, 14798.68, 9909.13, 14644.98, 9884.72, 15511.67, 7276.68, 2785.18, 5850.01, 8106.21, 10792.41, 7174.17, 5732.08, 2092.66, 1428.56, 2084.5, 1637.24, 996.22, 3172.84, 5284.73, 4950.61, 39934.41, 16857.7, 13637.12, 8809.02, 4639.95, 3400.44, 5870.12, 6575.54, 20844.41, 11787.31, 2888.63, 3009.39, 3593.8, 4883.93, 6026.85, 22824.96, 48866.25, 22813.85)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"3",0.26999998,431666,500707.344,1376018,1740825,357519,429234.313,2013.41626,965.484497,1019.46143,5133.84326,2194.31519,54369.0039,3160.2915,8134.74463,1814.18042,11879.6406,6017.86816,1527.97754,-480.71164,105.746254,-377.01376,901.969116,420.177887,5036.84863,418.805817,129.861877,7851.89844,"(-363.87, 351.01, 823.86, 1254.6, 1862.91, 2793.43, 4700.38, 3541.66, 13018.17, 5144.83, 2218.55, 1453.9, 2043.76, 1448.71, 2093.73, 1475.34)","(7641.22, 9528.96, 7785.66, 8507.27, 7806.42, 7561.17, 9887.39, 57864.98, 36273.27, 35402.15, 12978.16, 9172.74, 12135.04, 9783.35, 9455.8, 4948.08)","(13167.5, 11992.53, 12684.74, 10856.49, 7257.69, 4516.02, 2642.37, 2060.74, 1409.89, 1351.86, 651.25, 1564.95, 3675.15, 2753.85)","(29355.71, 14175.28, 10537.52, 4670.79, 3852.96, 3431.67, 3171.34, 3159.01, 7716.49, 4319.4)","(364.97, 897.62, 1682.41, 2331.76, 2335.07, 5227.4, 9347.66, 4565.24)","(-363.87, 351.01, 823.86, 1254.6, 1862.91, 2793.43, 4700.38, 3541.66, 13018.17, 5144.83, 2218.55, 1453.9, 2043.76, 1448.71, 2093.73, 1475.34, 7641.22, 9528.96, 7785.66, 8507.27, 7806.42, 7561.17, 9887.39, 57864.98, 36273.27, 35402.15, 12978.16, 9172.74, 12135.04, 9783.35, 9455.8, 4948.08, 13167.5, 11992.53, 12684.74, 10856.49, 7257.69, 4516.02, 2642.37, 2060.74, 1409.89, 1351.86, 651.25, 1564.95, 3675.15, 2753.85, 29355.71, 14175.28, 10537.52, 4670.79, 3852.96, 3431.67, 3171.34, 3159.01, 7716.49, 4319.4, 364.97, 897.62, 1682.41, 2331.76, 2335.07, 5227.4, 9347.66, 4565.24)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"4",0.29449999,629550,732659.938,1160713,1479649.13,474585,562721.125,1688.49805,-1648.5974,4076.91919,607.159607,1102.30786,36189.9961,584.404907,928.166626,1408.62122,1154.75195,5585.56104,962.808289,146.929413,1072.15637,128.200546,2324.90698,-303.69397,7729.16748,448.55304,1296.01611,276.174316,"(64.02, 419.62, 579.87, 1090.83, 1855.24, 1903.63, 3152.7, 2352.39, 8173.74, 3183.68, 1339.15, 909.95, 764.36, 469.81, 708.35, 264.23)","(3075.38, 5190.21, 5632.31, 2816.94, 2909.1, 1591.87, 3491.17, 36468.78, 21817.42, 20147.43, 7016.28, 3725.91, 2837.19, 2208.75, 3941.59, 1152.26)","(865.22, 2753.2, 6277.71, 6392.32, 5032.82, 2908.45, 1642.14, 1725.67, 735.59, 626.77, 458.55, 2066.06, 4305.62, 4109.21)","(20288.3, 8712.27, 7244.58, 4564.18, 2787.7, 1542.68, 1884.73, 2216.86, 7816.42, 4450.35)","(443.31, 722.02, 724.21, 1395.2, 1780.3, 1136.5, 1789.36, 384.06)","(64.02, 419.62, 579.87, 1090.83, 1855.24, 1903.63, 3152.7, 2352.39, 8173.74, 3183.68, 1339.15, 909.95, 764.36, 469.81, 708.35, 264.23, 3075.38, 5190.21, 5632.31, 2816.94, 2909.1, 1591.87, 3491.17, 36468.78, 21817.42, 20147.43, 7016.28, 3725.91, 2837.19, 2208.75, 3941.59, 1152.26, 865.22, 2753.2, 6277.71, 6392.32, 5032.82, 2908.45, 1642.14, 1725.67, 735.59, 626.77, 458.55, 2066.06, 4305.62, 4109.21, 20288.3, 8712.27, 7244.58, 4564.18, 2787.7, 1542.68, 1884.73, 2216.86, 7816.42, 4450.35, 443.31, 722.02, 724.21, 1395.2, 1780.3, 1136.5, 1789.36, 384.06)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"5",0.3125,518481,635737.25,1128269,1462474.25,472093,591777.25,1059.77039,1810.09839,-26.026794,2917.93579,-159.40918,1593.00403,547.181396,1446.68213,263.759094,792.83313,6520.09619,8779.87988,2159.30054,-1703.8502,41476.5664,2303.50879,603.754761,12532.0381,-38.107964,604.407776,470.875397,"(172.5, 228.41, 633.1, 911.38, 1441.67, 1837.47, 2394.32, 1679.03, 1796.91, 2294.21, 1993.43, 1678.96, 1264.5, 1555.73, 773.35, 176.97)","(1813, 1519.68, 971.42, 2758.65, 2668.72, 1907.25, 2564.54, 2396.81, 2861.97, 7352.6, 5064.28, 6373.33, 3866.82, 4316.66, 3931.43, 1733.49)","(1390.83, 1610.76, 6893.7, 8330.64, 11349.04, 21516.14, 11410.12, 16282.49, 12093.51, 5348.67, 4244.18, 5681.03, 8034.2, 6185.57)","(10992.21, 19514.45, 41001.1, 19237.7, 22339.86, 13321.69, 11798.58, 8155.31, 16243.35, 8667.06)","(619.33, 3044.64, 2263.42, 2271.09, 1663.28, 1568.56, 2438.97, 675.01)","(172.5, 228.41, 633.1, 911.38, 1441.67, 1837.47, 2394.32, 1679.03, 1796.91, 2294.21, 1993.43, 1678.96, 1264.5, 1555.73, 773.35, 176.97, 1813, 1519.68, 971.42, 2758.65, 2668.72, 1907.25, 2564.54, 2396.81, 2861.97, 7352.6, 5064.28, 6373.33, 3866.82, 4316.66, 3931.43, 1733.49, 1390.83, 1610.76, 6893.7, 8330.64, 11349.04, 21516.14, 11410.12, 16282.49, 12093.51, 5348.67, 4244.18, 5681.03, 8034.2, 6185.57, 10992.21, 19514.45, 41001.1, 19237.7, 22339.86, 13321.69, 11798.58, 8155.31, 16243.35, 8667.06, 619.33, 3044.64, 2263.42, 2271.09, 1663.28, 1568.56, 2438.97, 675.01)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"6",0.42969999,365691,409962.031,1046994,1310254.75,227318,252448.078,4269.53809,769.548767,1094.45532,21147.7637,861.059204,661.554504,857.141357,2961.20996,-717.4751,1397.30225,5160.81543,10111.082,21393.5391,-2477.0061,59750.8281,-445.95898,1943.03076,27595.7734,1026.00146,193.800446,9179.96484,"(399.09, 794.51, 1364.55, 2415.39, 3965.88, 6389.43, 8426.89, 3839.57, 3260.3, 3242.82, 2646.56, 3436.55, 2173.34, 3458.44, 2116.69, 2342.92)","(540.79, 2669.34, 5957.88, 21765.64, 21055.31, 17598.48, 17550.92, 9942.66, 8344.17, 14106.53, 10919.16, 17887.31, 15496.65, 11836.26, 12041.97, 5058.42)","(2796.91, 2756.86, 7143.73, 10378.59, 15130.82, 31399.94, 16068.93, 26777.18, 32909.22, 16874.92, 11166.38, 16471.32, 20510.65, 18495.59)","(17039.47, 26382.61, 59918.46, 24993.46, 28653.37, 19883.7, 17677.45, 13876.08, 33596.88, 19467.6)","(1199.28, 7714, 11133.51, 7830.05, 6537.08, 8001.4, 15864, 5956.61)","(399.09, 794.51, 1364.55, 2415.39, 3965.88, 6389.43, 8426.89, 3839.57, 3260.3, 3242.82, 2646.56, 3436.55, 2173.34, 3458.44, 2116.69, 2342.92, 540.79, 2669.34, 5957.88, 21765.64, 21055.31, 17598.48, 17550.92, 9942.66, 8344.17, 14106.53, 10919.16, 17887.31, 15496.65, 11836.26, 12041.97, 5058.42, 2796.91, 2756.86, 7143.73, 10378.59, 15130.82, 31399.94, 16068.93, 26777.18, 32909.22, 16874.92, 11166.38, 16471.32, 20510.65, 18495.59, 17039.47, 26382.61, 59918.46, 24993.46, 28653.37, 19883.7, 17677.45, 13876.08, 33596.88, 19467.6, 1199.28, 7714, 11133.51, 7830.05, 6537.08, 8001.4, 15864, 5956.61)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"7",0.68360001,704170,833303.25,1070060,1336247.63,382966,471916.688,2528.35303,976.039429,681.680298,1025.07593,731.758545,1376.03748,1117.13892,2674.66797,1028.3158,3841.89746,10064.6338,13591.2754,2558.3728,-671.38232,49050.4609,1312.37012,574.721863,17953.7813,8.96299744,993.306458,-14.496361,"(314.62, 490.43, 929.42, 1553.89, 1955.17, 3115.54, 3528.49, 2119.9, 2173.53, 2912.84, 3973.19, 3972.12, 1974.76, 3252.92, 1643.47, 1114.47)","(1354.53, 1416.11, 1108.77, 1455.01, 1350.73, 1392.06, 2163.92, 3163.06, 3476.8, 9184.31, 7538.31, 9445.15, 6767.71, 6387.95, 6838.95, 2796.74)","(4555.04, 4860.59, 11817.78, 12466.78, 14774.81, 27352.64, 13584.33, 22180.55, 15208.12, 7130.95, 5332.97, 8377.54, 11356.14, 10257.16)","(14517.41, 23215.13, 48943.16, 22260.53, 28399.05, 17523.93, 14294.46, 11041.06, 21776.46, 11848.78)","(448.87, 4694.88, 3303.29, 3147.76, 2866, 2136.45, 3024.97, 1014.23)","(314.62, 490.43, 929.42, 1553.89, 1955.17, 3115.54, 3528.49, 2119.9, 2173.53, 2912.84, 3973.19, 3972.12, 1974.76, 3252.92, 1643.47, 1114.47, 1354.53, 1416.11, 1108.77, 1455.01, 1350.73, 1392.06, 2163.92, 3163.06, 3476.8, 9184.31, 7538.31, 9445.15, 6767.71, 6387.95, 6838.95, 2796.74, 4555.04, 4860.59, 11817.78, 12466.78, 14774.81, 27352.64, 13584.33, 22180.55, 15208.12, 7130.95, 5332.97, 8377.54, 11356.14, 10257.16, 14517.41, 23215.13, 48943.16, 22260.53, 28399.05, 17523.93, 14294.46, 11041.06, 21776.46, 11848.78, 448.87, 4694.88, 3303.29, 3147.76, 2866, 2136.45, 3024.97, 1014.23)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"8",0.72219998,397497,474499.688,1543324,1927532.13,224978,279378.938,2033.12842,-217.02985,1913.45166,11215.0605,1839.65417,72515.2578,812.899292,4629.16748,866.507446,2525.70117,8030.83887,885.676941,393.412781,-2727.5591,-167.59537,1378.07397,1154.51843,2911.54224,289.400299,-277.75568,12800.0967,"(851.75, 604.98, 1086.99, 1270.97, 1686.06, 4024.95, 5766.83, 4112.93, 16821.34, 6064.67, 1976.13, 1575.78, 1574.4, 1158.26, 1766.85, 1376.33)","(8376.2, 8733.71, 12287.26, 14881.68, 13214.76, 11409.13, 14552.38, 76922.87, 46584.61, 43529.27, 14576.57, 8275.01, 8654.86, 6271.71, 7152.22, 3012.85)","(3182.4, 4705.43, 9975.26, 10960.25, 7030.05, 5794.2, 2575.39, 1356.01, 1592.67, 871.48, 891.36, 1462.73, 2217.36, 2673.46)","(37727.41, 16813.28, 13576.15, 5890.95, 4060.36, 3847.16, 3920.16, 2076.04, 6314.41, 3869.36)","(651.61, 635.87, 936.25, 1132.19, 1922.88, 5615.74, 14258.88, 5565.36)","(851.75, 604.98, 1086.99, 1270.97, 1686.06, 4024.95, 5766.83, 4112.93, 16821.34, 6064.67, 1976.13, 1575.78, 1574.4, 1158.26, 1766.85, 1376.33, 8376.2, 8733.71, 12287.26, 14881.68, 13214.76, 11409.13, 14552.38, 76922.87, 46584.61, 43529.27, 14576.57, 8275.01, 8654.86, 6271.71, 7152.22, 3012.85, 3182.4, 4705.43, 9975.26, 10960.25, 7030.05, 5794.2, 2575.39, 1356.01, 1592.67, 871.48, 891.36, 1462.73, 2217.36, 2673.46, 37727.41, 16813.28, 13576.15, 5890.95, 4060.36, 3847.16, 3920.16, 2076.04, 6314.41, 3869.36, 651.61, 635.87, 936.25, 1132.19, 1922.88, 5615.74, 14258.88, 5565.36)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"9",0.83459997,558141,651160.25,1077458,1409019.13,318579,395825.813,1240.25134,449.430176,5076.77832,7506.90332,597.245117,78959.25,98.6765747,3991.94287,749.606445,12748.4766,6229.44092,695.164612,412.367981,-3259.2883,371.765778,1871.44434,1296.30469,6897.93701,1317.37805,-174.75955,49838.3086,"(-139.02, 415.59, 659.46, 1242.79, 1873.6, 2807.76, 4549.31, 3910.1, 18110.42, 7003.02, 2229.91, 1016.25, 1247.66, 1937.54, 3605.23, 2954.89)","(10187.28, 13629.02, 14324.55, 13003.2, 10878.28, 7958.09, 10871.02, 81462.57, 48047.06, 45944.91, 14696.33, 8172.14, 8107.76, 6634.84, 12069.98, 5214.29)","(13941.44, 12515.62, 12608.43, 12681.68, 7705.71, 5773.05, 2865.48, 2426.67, 1567.62, 830.34, 801.41, 2657.58, 5096.89, 3599.17)","(40385.25, 18636.64, 15266.44, 7508.33, 4481.85, 3879.79, 4846.82, 5848.9, 19197.99, 11167.07)","(2607.55, 2520.15, 2256.04, 2425.4, 4392.49, 22207.2, 51543.03, 23563.51)","(-139.02, 415.59, 659.46, 1242.79, 1873.6, 2807.76, 4549.31, 3910.1, 18110.42, 7003.02, 2229.91, 1016.25, 1247.66, 1937.54, 3605.23, 2954.89, 10187.28, 13629.02, 14324.55, 13003.2, 10878.28, 7958.09, 10871.02, 81462.57, 48047.06, 45944.91, 14696.33, 8172.14, 8107.76, 6634.84, 12069.98, 5214.29, 13941.44, 12515.62, 12608.43, 12681.68, 7705.71, 5773.05, 2865.48, 2426.67, 1567.62, 830.34, 801.41, 2657.58, 5096.89, 3599.17, 40385.25, 18636.64, 15266.44, 7508.33, 4481.85, 3879.79, 4846.82, 5848.9, 19197.99, 11167.07, 2607.55, 2520.15, 2256.04, 2425.4, 4392.49, 22207.2, 51543.03, 23563.51)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
"10",0.86869997,280728,323977.781,967534,1149741.38,284134,325508.094,1005.14832,196.614868,1268.66504,1575.73547,-457.23938,37965.0156,625.996216,1112.50732,1010.77368,2343.20801,3485.95093,-148.35222,1030.44934,3511.99585,345.744141,2720.82886,123.854271,7794.33838,245.707245,1264.84802,1184.28052,"(-393.26, 219.51, 1045.68, 411.02, 1511.46, 1614.75, 2291, 2116.4, 7974.45, 3431.61, 905.97, 191.6, 408.19, 896.28, 1088.45, 275.75)","(4782.01, 3508.3, 5822.86, 2316.55, 2164.22, 1542.08, 2731.46, 37506.59, 22820.96, 21106.02, 7136.8, 3778.68, 3283.6, 2590.32, 3551.19, 1774.85)","(2175.94, 2970.91, 5722.92, 6008.47, 4196.67, 2916.85, 1798.42, 720.72, 2170.3, 875.49, 810.86, 1934.02, 4021.87, 3799.82)","(24360.76, 10847.92, 8300.18, 5014.56, 2855.64, 2010.45, 2144.63, 3112.27, 8441.46, 5147.79)","(465.74, 258.58, 1191.99, 2064.72, 1483.87, 1126.34, 2735.54, 1172.3)","(-393.26, 219.51, 1045.68, 411.02, 1511.46, 1614.75, 2291, 2116.4, 7974.45, 3431.61, 905.97, 191.6, 408.19, 896.28, 1088.45, 275.75, 4782.01, 3508.3, 5822.86, 2316.55, 2164.22, 1542.08, 2731.46, 37506.59, 22820.96, 21106.02, 7136.8, 3778.68, 3283.6, 2590.32, 3551.19, 1774.85, 2175.94, 2970.91, 5722.92, 6008.47, 4196.67, 2916.85, 1798.42, 720.72, 2170.3, 875.49, 810.86, 1934.02, 4021.87, 3799.82, 24360.76, 10847.92, 8300.18, 5014.56, 2855.64, 2010.45, 2144.63, 3112.27, 8441.46, 5147.79, 465.74, 258.58, 1191.99, 2064.72, 1483.87, 1126.34, 2735.54, 1172.3)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_CP11_CD3+.csv",NA,NA
