Protein,Color,
HLADR,BV421.A,
CXCR4,eFluor.450.A,
Viability  ,LIVE.DEAD.Blue.A,
CD28,BV480.A,
CXCR3,BV510.A,
CD8,BV570.A,
CXCR5,Super.Bright.645.A,
CD127,BV711.A,
CD69,BV785.A,
TIM3,BB515.A,
CD3,Alexa.Fluor.532.A,
CD45RO,PerCP.A,
PD1,BB700.A,
Tetramer,PE.A,
CD4,PE.Texas.Red.A,
CTLA4,PE.Cy5.A,
CD25,PE.Alexa.Fluor.700.A,
ICOS,PE.Cy7.A,
LAG3,Alexa.Fluor.647.A,
CD62L,APC.Cy7.A,
