"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","BV421.A","eFluor.450.A","LIVE.DEAD.Blue.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"15",0.51449996,509493,567070.125,1095756,1220663.63,646500,768804.063,2395.37671,1022.31671,4810.7998,2776.62964,1081.73572,18632.0332,310.739075,1215.41736,450.834595,834.63269,7772.40771,-367.01099,354.050659,934.39917,-168.76448,1293.81787,-94.76297,6894.10059,839.188293,-212.6185,12817.7402,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"16",0.52749997,346350,377665.781,1707913,1753773.25,408339,452962.813,1385.74792,1386.77148,2965.24048,40619.75,-270.18042,11967.7305,757.431396,9181.79883,-980.21039,482.56543,8248.79785,5335.83936,-17.94577,795.637024,-322.54047,304.558502,5646.05371,38998.6016,785.466431,564.848999,62161.5391,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"17",0.56299996,245198,251410.375,896961,945699.625,243921,272056.219,1616.48315,754.091003,1517.6167,26784.8867,350.665527,3126.97217,1258.56396,5377.33789,363.156799,2287.9126,6802.47412,1176.22607,191.950714,-1026.1249,86886.4688,321.310852,779.296326,15450.7822,667.516724,309.256073,74468.3984,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"18",0.56769997,285781,296917.875,1591588,1673077.13,293606,348526.313,835.049988,803.05188,3453.42529,1854.71521,2453.67163,30467.834,1238.37549,231.658478,1564.74585,1174.39063,9641.80273,605.579773,424.19342,-31.103069,684.180298,-465.36298,1746.6676,9023.00781,257.31897,1043.33057,1166.87305,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"19",0.59319997,255509,261829.906,1372126,1431910.75,242624,273252.781,1449.26807,2598.20801,1121.03296,23543.5469,-703.15869,3179.19971,1417.72168,4837.25977,957.263489,2237.66357,9928.67285,-332.59296,325.868347,1054.19519,81262.2422,1624.75415,-970.27209,10599.5713,-119.76657,275.589294,34179.5,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"20",0.63389999,207963,216892.719,1488161,1552673.38,256912,288479.188,1139.10095,2997.05713,2003.16357,25697.8867,1208.81641,305.835449,272.00592,7709.16455,-513.55304,3037.05518,19784.7207,-716.48254,-68.029999,2641.52124,77749.7656,1604.35852,-11.543732,19045.9375,378.681335,880.623169,89641.6484,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"21",0.68329996,443540,456771.469,1418462,1475835.38,335388,385680.938,1519.23877,329.888855,2759.42847,43387.7578,3321.6748,2398.46411,1496.93408,13803.2559,1417.7561,1831.06812,5183.10254,9182.54102,6247.08545,672.402405,88730.9844,-1538.0521,1449.67126,24094.0449,1253.57092,313.426971,10786.2314,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"22",0.68979996,536739,567895.563,1287069,1418129.88,389098,479547.531,946.365234,893.647644,3254.40869,31943.6934,1697.76611,33688.5664,823.217285,28913.1719,59.5302124,261.925659,11601.9873,1460.19556,3700.28491,-686.90497,46.2457809,622.741943,462.494995,5509.84717,190.802414,1730.44531,500.948242,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"23",0.71520001,213199,211625.469,1365944,1456340,160487,190672.938,1854.23901,983.157288,1689.26611,21568.9297,-718.20605,2114.26904,1196.81812,1864.12231,602.406921,3241.94141,6925.65332,-355.54941,-320.04443,1162.43787,88271.1797,815.638855,3191.91504,12545.5752,270.023865,702.235962,124084.289,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"24",0.72459996,436729,460091.031,1454013,1539579,493987,565405.188,1027.17444,2611.9104,1948.98547,32831.1602,1536.26025,2165.63794,1236.57837,32738.5156,206.890259,3875.42676,6117.78271,4102.59521,930.349365,685.701843,59510.5938,632.501953,6560.68604,7968.84326,110.490036,-21.246239,24210.6348,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"25",0.75799996,477554,525167,999624,1082978.5,496821,588861.938,8237.29785,1687.22998,3626.53906,2069.66504,1671.85107,28121.332,746.812927,367.404602,1097.71777,1221.43237,8084.34863,-469.2746,512.379761,336.744965,457.582153,290.251251,1186.65039,7387.05078,434.37854,1465.26111,171.413498,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"26",0.77099997,281007,298190.344,1466253,1548302.13,278611,314942.781,1540.85193,1563.69482,1487.53149,24672.7012,357.4021,3195.47998,1080.95435,6092.88672,1629.58069,8045.63379,9329.04785,100.273712,-20.198456,-400.60144,79029.0781,276.299438,114.501678,10055.2207,640.875122,374.089813,43286.0781,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"27",0.82009995,316324,315328.219,1537873,1651622,245223,295167.375,1338.13831,2553.19238,2177.74194,22462.5547,1226.06128,2886.46484,854.683289,5158.41357,567.611694,1567.0498,11686.251,462.241028,451.424988,52.2977943,74494.3672,-196.51956,269.522888,13710.9873,309.82605,747.488342,46551.7734,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"28",0.84419996,431069,453332.438,1026854,1088891.75,319374,383193.188,1227.90588,566.09314,2815.58618,2910.18164,1834.97144,42642.5977,1157.14575,235.149811,973.763794,4019.05127,7301.42139,824.570801,25.8908386,-2751.5522,125.620239,-647.90918,1216.5603,11952.5361,465.929688,219.58223,2208.40503,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"29",0.8743,423793,452833.219,1549376,1641904.63,400955,486058.594,884.784607,1307.74292,3035.72363,51634.1719,1534.34082,19270.7676,652.143188,25700.9727,1562.86206,1021.7514,7918.4834,4429.96631,626.603638,-55.325645,424.455505,724.916748,6459.80859,15389.4902,180.560989,1113.76294,76466.7109,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"30",0.91529995,391141,415112.469,1598900,1641785.75,352491,398313.906,1124.57422,904.357544,3183.21631,1977.95288,2388.77563,37933.8242,916.059937,177.173431,1114.09814,1260.1084,9038.4248,1247.29688,306.532928,-324.46323,677.522644,-815.8468,366.358673,13302.3086,-47.607651,1424.69519,1088.99255,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"31",0.91779995,218399,226049.875,1411606,1500684.13,239660,284502.219,1432.31543,1980.69971,2058.44287,21844.3203,1568.40588,882.69397,90.9160156,6846.37988,-194.38654,1838.06543,16304.0547,318.194641,-589.42291,575.192932,96290.625,1865.65674,-217.37222,24484.666,535.004578,671.279419,124800.352,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"32",1.12459993,249809,264604.313,1547943,1648771,289676,356372.375,8.42810822,1945.76233,2907.76221,34725.8438,3042.42798,928.583862,-788.22748,13025.4492,-941.90472,1800.03015,4357.6499,3112.1665,119.032928,4852.29346,85706.5781,768.43219,230.89183,47897.9688,302.692993,120.788246,66952.7578,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv","CP11","20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+Tetramer-All.csv"
"33",1.13880002,385159,393439.688,843479,903992,352047,403774.625,2433.64502,-248.87524,1801.4729,24299.1172,872.106445,17003.1055,469.831787,5666.62256,469.85437,2489.01855,6083.87305,82.1768875,7724.85889,-358.67828,-47.202103,-158.11081,1763.16846,6465.78809,980.965393,45.2070389,5756.70313,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"34",1.15509999,442555,486589.531,1351119,1385362.88,486259,559395.313,525.806702,1985.79895,2709.21289,44471.5938,3141.74683,1677.62036,486.073792,22169.8242,12925.0625,1212.80518,6442.99316,2602.61426,2358.56738,1213.91309,110667.258,-83.36322,4986.1792,36628.0586,513.960205,348.326904,633.511353,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"35",1.17909992,333460,358713.219,1355118,1425909,298571,348648.969,1363.68677,937.111755,2447.29102,35327.8672,1122.14673,2287.13623,1030.61707,12509.623,1454.99194,166.901428,2726.0835,4507.56299,537.194214,-95.609688,70269.2266,-667.31854,7329.4502,20984.4355,724.287781,525.869751,49164.9414,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"36",1.20770001,269407,293032,1458837,1551624.25,332692,397198.906,964.046387,1214.72583,3050.12451,28633.7344,988.467651,698.717163,-694.18378,16274.9512,448.940704,2681.96704,3859.9668,3231.80566,2748.61133,1638.64429,111611.203,671.668945,7968.20801,13324.6318,256.14386,64.2346039,1474.06421,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"37",1.24619997,459102,514952.188,1851451,1923054,534874,630131.438,940.066223,517.150146,3707.34155,11375.5459,1782.46777,38116.1836,2017.3916,12524.1582,509.280823,-83.541016,10059.1006,-271.54089,124.25824,-128.30327,-639.13818,1917.53638,2205.10889,11831.3438,1380.91772,1486.14148,235347.25,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"38",1.30669999,198448,209540.875,1510478,1588859.5,275091,312582.844,927.665161,1489.54492,1617.92822,20609.8574,903.132813,1368.97009,-269.96893,8459.43945,233.92337,2773.03418,6976.94678,301.913879,165.742767,1415.29956,84781.1484,354.108398,918.082886,24599.1504,673.737854,348.84906,16745.3223,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"39",1.33429992,330477,326390.125,1398177,1479439,255617,299492.625,2476.20996,1158.35645,1873.64099,26323.2754,621.653442,1833.00537,240.601746,647.969116,710.43689,3771.79688,3889.43018,3199.62402,2250.30957,241.018631,56033.7344,48.71698,7190.50879,10247.4395,489.750793,405.104248,33712.7109,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"40",1.45579994,263245,268529.938,1386019,1437692.25,271598,296291.594,1403.07434,497.706604,1908.02795,18549.6582,-141.28394,3084.21729,1819.64795,1318.31592,995.560791,302.30658,6324.32275,1509.73779,-630.95624,288.2677,71404.5156,-1034.9119,10961.1221,8804.39648,681.019714,52.204628,54781.3398,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"41",1.54219997,576527,609421.063,982178,1039775.75,440074,519928.375,1695.29504,1356.89392,2952.10498,3026.59082,2376.0293,35232.1797,1121.63062,662.194702,1181.40271,938.287964,14011.418,346.307922,1471.57129,-1291.7809,98.5822754,185.557968,-157.4263,10668.5205,176.446686,1232.29346,1636.44519,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"42",1.55859995,330259,335735.656,1521898,1648859.75,349543,415914.156,1341.00305,2829.27783,2807.54053,29926.9355,2036.61584,1463.6936,394.044312,23005.8535,596.053894,2087.36304,14284.8711,1342.78503,204.353729,498.365784,92425.8438,-331.09583,539.160706,19020.6152,1436.64978,584.447632,94132.9609,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"43",1.62150002,185200,202105.672,1677435,1799095.75,219581,263549.406,430.126953,1783.20508,3059.02197,43078.7773,1898.02417,294.301636,-979.13641,32789.2266,591.648254,1341.02734,7262.4248,-69.219864,116.977188,2322.83716,95580.9844,2576.03687,2931.98633,16541.6348,150.943054,1665.79907,5667.55566,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"44",1.64099991,550230,587729.313,1204346,1335278.13,458353,544973.688,1104.35181,585.085327,3526.79639,24491.2656,2598.1626,2760.90674,1377.57959,19873.9824,1941.29517,428.384216,6340.39014,1806.1416,-635.18903,723.772461,79161.3828,-892.52515,11302.6895,4917.87256,502.811646,213.288971,59292.9961,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
"45",1.7385,290048,314310.469,1693194,1771188.13,397098,457607.781,281.269623,1751.60413,3164.79639,34437.1836,1787.84521,16190.4922,753.4823,12287.2676,252.393921,2888.33618,3796.49609,1149.46143,1023.18872,1352.86621,423.088928,198.241486,7409.53223,12854.7832,202.520172,814.493652,58.0410767,"20200228_FR_PRO_T1D_HU_AD_MON_20200228_TNET007_CP11_CD3+.csv",NA,NA
