"","Time","SSC.H","SSC.A","FSC.H","FSC.A","SSC.B.H","SSC.B.A","LIVE.DEAD.Blue.A","BV421.A","eFluor.450.A","BV480.A","BV510.A","BV570.A","Super.Bright.645.A","BV711.A","BV785.A","BB515.A","Alexa.Fluor.532.A","PerCP.A","BB700.A","PE.A","PE.Texas.Red.A","PE.Cy5.A","PE.Alexa.Fluor.700.A","PE.Cy7.A","Alexa.Fluor.647.A","Alexa.Fluor.700.A","APC.Cy7.A","UV.A","Violet.A","Blue.A","YellowGreen.A","Red.A","UV...Violet...Blue...YellowGreen...Red.A","FileName","Tetramer_Positive","Tetramer_Positive_AllSheet"
"1",0.0161,438451,524271.375,1316571,1683985.25,311743,390519.031,658.932861,-52.14679,2832.14868,16878.7871,-885.46228,2410.66772,2165.86133,4092.77954,1414.04932,416.896423,14494.9863,-473.11462,282.113342,23.550106,38142.207,3244.46606,-164.24406,5919.18311,69.3517532,-111.27372,38919.8594,"(515.23, 336.79, 586.48, 1520.23, 1603.87, 3565.09, 6424.37, 4086.77, 3265.49, 2843.75, 1480.01, 417.48, 450.14, 815.42, 2345.89, 2295.05)","(1290.21, 1933.11, 7274.97, 17400.4, 16945.4, 13897.13, 14210.23, 8924.51, 8042.34, 10980.22, 4558.62, 3505.49, 5945.29, 5369.29, 10537.04, 5001.77)","(2745.84, 4022.18, 15962.86, 13686.93, 14243.66, 23385.9, 10429.16, 7048.11, 7207.87, 3028.82, 2509.6, 3231.02, 4798.13, 4732.42)","(12582.2, 18284.56, 38420.9, 19216.41, 13716.92, 10672.67, 8965.07, 6721.07, 17436.64, 9154.47)","(1405.11, 1386.86, 1225.09, 2351.11, 3166.19, 17100.97, 40736.56, 18537.32)","(515.23, 336.79, 586.48, 1520.23, 1603.87, 3565.09, 6424.37, 4086.77, 3265.49, 2843.75, 1480.01, 417.48, 450.14, 815.42, 2345.89, 2295.05, 1290.21, 1933.11, 7274.97, 17400.4, 16945.4, 13897.13, 14210.23, 8924.51, 8042.34, 10980.22, 4558.62, 3505.49, 5945.29, 5369.29, 10537.04, 5001.77, 2745.84, 4022.18, 15962.86, 13686.93, 14243.66, 23385.9, 10429.16, 7048.11, 7207.87, 3028.82, 2509.6, 3231.02, 4798.13, 4732.42, 12582.2, 18284.56, 38420.9, 19216.41, 13716.92, 10672.67, 8965.07, 6721.07, 17436.64, 9154.47, 1405.11, 1386.86, 1225.09, 2351.11, 3166.19, 17100.97, 40736.56, 18537.32)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"2",0.14829999,390526,452117.625,1213088,1464542.5,253628,293481.469,885.372131,765.020142,1746.38757,18481.0879,-2438.8872,1879.15015,1692.89893,5664.29443,690.978455,9129.78711,5734.99658,4084.11841,568.554321,1572.44568,59693.2891,2706.70044,-12.996384,13722.6611,545.220337,189.859375,29411.4805,"(-274.17, 305, 1028.37, 1274.06, 1538.34, 3696.48, 6211.07, 3018.43, 2899.41, 3526.23, 2248.36, 1889.78, 1349.67, 2189.33, 2682.43, 3115.29)","(1783.25, 1854.06, 7067.92, 18089.91, 18275.32, 13236.26, 13571, 8195.64, 8292.81, 13295.8, 5688.94, 6851.98, 7901.01, 7208.49, 10441.99, 4639.29)","(10972.49, 10466.58, 11544.2, 11871.92, 16672.7, 32158.08, 14955.81, 15015.74, 12063.93, 5168.22, 3428.45, 5843.84, 8678.49, 7654.45)","(19148.44, 28130.55, 59701.88, 28661.52, 23787.86, 16008.34, 14775.37, 10829.34, 24959.73, 13416.41)","(1411.23, 3205.87, 2309.69, 2728.6, 4085.65, 14968.81, 31339.15, 15020.81)","(-274.17, 305, 1028.37, 1274.06, 1538.34, 3696.48, 6211.07, 3018.43, 2899.41, 3526.23, 2248.36, 1889.78, 1349.67, 2189.33, 2682.43, 3115.29, 1783.25, 1854.06, 7067.92, 18089.91, 18275.32, 13236.26, 13571, 8195.64, 8292.81, 13295.8, 5688.94, 6851.98, 7901.01, 7208.49, 10441.99, 4639.29, 10972.49, 10466.58, 11544.2, 11871.92, 16672.7, 32158.08, 14955.81, 15015.74, 12063.93, 5168.22, 3428.45, 5843.84, 8678.49, 7654.45, 19148.44, 28130.55, 59701.88, 28661.52, 23787.86, 16008.34, 14775.37, 10829.34, 24959.73, 13416.41, 1411.23, 3205.87, 2309.69, 2728.6, 4085.65, 14968.81, 31339.15, 15020.81)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"3",0.3118,401250,472146.406,1133974,1438769.88,217718,262170.875,1260.59412,-58.824768,8918.07227,10228.791,1008.2251,1423.72437,807.516846,8129.84668,378.236603,460.968018,8326.97363,512.719421,-544.38354,1662.00525,40896.6836,1873.71765,893.692444,5764.15576,46.0256424,192.114166,42003.8164,"(904.25, 750.02, 787.56, 774.47, 1991.65, 2645.16, 5197.92, 2943.25, 2337.3, 2842.05, 1142.29, 466.36, 1297.14, 1834.21, 3408.11, 2924.2)","(1817.81, 7914.71, 10808.69, 14328.44, 13057, 10016.99, 10188.98, 6594.75, 5402.71, 9174.2, 3692.29, 3485.92, 8694.23, 7581.74, 10867.25, 4854.63)","(1490.5, 3102.3, 9980.07, 9949.98, 12274.45, 22140.38, 9918.16, 7667.49, 6127.64, 2901.7, 1580.79, 2960.67, 4446.83, 4055.43)","(15414.73, 19052.23, 42096.88, 18563.96, 12875.61, 10591.76, 10007.74, 7789.63, 18355.53, 9421.89)","(1397.3, 1392.86, 1267.94, 3197.55, 4094.42, 19966.99, 43607.11, 19803)","(904.25, 750.02, 787.56, 774.47, 1991.65, 2645.16, 5197.92, 2943.25, 2337.3, 2842.05, 1142.29, 466.36, 1297.14, 1834.21, 3408.11, 2924.2, 1817.81, 7914.71, 10808.69, 14328.44, 13057, 10016.99, 10188.98, 6594.75, 5402.71, 9174.2, 3692.29, 3485.92, 8694.23, 7581.74, 10867.25, 4854.63, 1490.5, 3102.3, 9980.07, 9949.98, 12274.45, 22140.38, 9918.16, 7667.49, 6127.64, 2901.7, 1580.79, 2960.67, 4446.83, 4055.43, 15414.73, 19052.23, 42096.88, 18563.96, 12875.61, 10591.76, 10007.74, 7789.63, 18355.53, 9421.89, 1397.3, 1392.86, 1267.94, 3197.55, 4094.42, 19966.99, 43607.11, 19803)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"4",0.31909999,540115,663490.625,1324993,1640441.38,316375,399613.156,1853.23279,254.228821,1954.51843,19358.5645,3480.98096,85273.3594,1181.84912,9236.03809,160.688568,338.935791,4892.83203,2915.74976,3347.67188,-3297.4744,905.541504,643.34082,1852.52612,8312.62793,982.376953,670.749207,35748.9883,"(222.88, 367.9, 1275.63, 1917.27, 2005.75, 4907.54, 7381.5, 5204.29, 18896.01, 7718.97, 3114.64, 2041.84, 1839.6, 2411.11, 3856.78, 2473.01)","(10191.54, 11881.9, 16424.35, 23138.09, 23506.68, 20247.65, 22721.11, 94953.16, 55926.87, 54256.1, 18686.38, 13895.24, 16381.44, 11929.83, 14404.69, 5970.02)","(2467.19, 2040.14, 5949.25, 11533.95, 7250.6, 6101.81, 2892.27, 5450.51, 6208.61, 2545.45, 1760.91, 4190.52, 5383.82, 5100.09)","(44448.71, 20345.71, 16772.84, 8858.32, 6174.19, 5908.91, 6835.61, 6741.92, 18361.62, 10534.48)","(2009.81, 2787.33, 4423.44, 5282.82, 5741.62, 17366.61, 38709.58, 17763.39)","(222.88, 367.9, 1275.63, 1917.27, 2005.75, 4907.54, 7381.5, 5204.29, 18896.01, 7718.97, 3114.64, 2041.84, 1839.6, 2411.11, 3856.78, 2473.01, 10191.54, 11881.9, 16424.35, 23138.09, 23506.68, 20247.65, 22721.11, 94953.16, 55926.87, 54256.1, 18686.38, 13895.24, 16381.44, 11929.83, 14404.69, 5970.02, 2467.19, 2040.14, 5949.25, 11533.95, 7250.6, 6101.81, 2892.27, 5450.51, 6208.61, 2545.45, 1760.91, 4190.52, 5383.82, 5100.09, 44448.71, 20345.71, 16772.84, 8858.32, 6174.19, 5908.91, 6835.61, 6741.92, 18361.62, 10534.48, 2009.81, 2787.33, 4423.44, 5282.82, 5741.62, 17366.61, 38709.58, 17763.39)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"5",0.3267,411158,495882.844,1194291,1453846.38,152623,195303.109,1083.48962,-404.19098,5892.79492,18381.7578,1303.34277,1844.30615,708.798767,10574.5059,75.8717346,6145.88281,8139.87354,275.685974,-460.97684,-1920.3729,43516.293,1429.67456,1465.20483,18856.8945,685.29071,-686.83972,35650.5195,"(512.65, 194.1, 801.84, 1472.04, 1563.83, 3440.91, 6720.89, 3812.35, 3996.49, 3007.47, 1027.53, 816.78, 1339.91, 2156.8, 4017.26, 2186.95)","(1239.36, 4582.07, 10497.44, 20894.01, 20597.23, 16385.27, 16731.4, 9839.7, 7551.81, 11308.68, 3892.9, 5217.72, 11314.29, 8331.63, 12883.68, 6006.76)","(8002.59, 8166.68, 12101.99, 10745.43, 13654.82, 23162.04, 9062.46, 7182.79, 6434.69, 3148.06, 2179.61, 6980.58, 10242.77, 9505.14)","(12957.87, 20271.4, 43733.27, 19337.81, 13406.32, 11551.65, 11045.67, 9589.55, 30276.87, 16663.19)","(1383.52, 1514.67, 1872.71, 3070.35, 3819.2, 17231.98, 38957.57, 16498.44)","(512.65, 194.1, 801.84, 1472.04, 1563.83, 3440.91, 6720.89, 3812.35, 3996.49, 3007.47, 1027.53, 816.78, 1339.91, 2156.8, 4017.26, 2186.95, 1239.36, 4582.07, 10497.44, 20894.01, 20597.23, 16385.27, 16731.4, 9839.7, 7551.81, 11308.68, 3892.9, 5217.72, 11314.29, 8331.63, 12883.68, 6006.76, 8002.59, 8166.68, 12101.99, 10745.43, 13654.82, 23162.04, 9062.46, 7182.79, 6434.69, 3148.06, 2179.61, 6980.58, 10242.77, 9505.14, 12957.87, 20271.4, 43733.27, 19337.81, 13406.32, 11551.65, 11045.67, 9589.55, 30276.87, 16663.19, 1383.52, 1514.67, 1872.71, 3070.35, 3819.2, 17231.98, 38957.57, 16498.44)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"6",0.33179998,494220,605875.375,1427506,1783528.13,311100,394730.094,2118.823,888.250427,1362.91455,11420.1553,184.078979,84659.1328,1091.39856,9952.49902,993.209351,3537.36719,8490.38965,957.298157,598.410767,-2252.0652,-677.07141,1783.59021,984.417297,5375.21387,105.479393,-362.83182,18766.0527,"(35, 374.97, 1319.37, 1168.2, 2700.52, 4200.1, 6217.14, 4944.81, 18417.73, 6902.46, 1980.15, 1563.09, 1818.06, 2791.78, 2294.65, 2286.42)","(11036.06, 12282.83, 13497.61, 15306.28, 14099.15, 10089.66, 13936.97, 88728.73, 52842.91, 50982.71, 16867.87, 11285.3, 14983.2, 10551.03, 11722.96, 4760.09)","(4960.24, 5533.19, 11160.29, 13185.81, 8807.13, 5898.79, 2323.76, 2757.75, 2684.72, 1576.75, 945.24, 2250.74, 3632.81, 3111.6)","(44533.24, 19202.71, 15835.96, 8516.41, 4794, 3353.07, 4834.79, 5069.47, 10954.18, 5822.23)","(661.17, 1171.5, 1537.12, 3137.94, 2822.64, 9689.69, 20843.63, 8603.38)","(35, 374.97, 1319.37, 1168.2, 2700.52, 4200.1, 6217.14, 4944.81, 18417.73, 6902.46, 1980.15, 1563.09, 1818.06, 2791.78, 2294.65, 2286.42, 11036.06, 12282.83, 13497.61, 15306.28, 14099.15, 10089.66, 13936.97, 88728.73, 52842.91, 50982.71, 16867.87, 11285.3, 14983.2, 10551.03, 11722.96, 4760.09, 4960.24, 5533.19, 11160.29, 13185.81, 8807.13, 5898.79, 2323.76, 2757.75, 2684.72, 1576.75, 945.24, 2250.74, 3632.81, 3111.6, 44533.24, 19202.71, 15835.96, 8516.41, 4794, 3353.07, 4834.79, 5069.47, 10954.18, 5822.23, 661.17, 1171.5, 1537.12, 3137.94, 2822.64, 9689.69, 20843.63, 8603.38)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"7",0.51410002,647986,834925.875,1341517,1677025,314264,426364.219,2890.979,5382.56982,-299.98993,11118.7715,-0.14245605,79378.2188,1270.98877,2069.88354,1003.19421,1070.61084,5589.47412,7473.47217,90.9049377,-1274.3607,-444.73416,1157.6908,1188.23706,2883.66382,157.569,834.43335,-28.902031,"(311.97, -220.19, 1397.66, 1294.06, 2853.12, 4750.59, 5985.11, 4009.84, 17135.55, 6386.63, 3404.4, 2393.52, 1671.05, 1992.93, 381.01, 554.26)","(13938.35, 14953.71, 13856.34, 15954.36, 12217.35, 10341.6, 12759.64, 81829.32, 50649.43, 48328.35, 17093.31, 10064.92, 7723.72, 6129.37, 4917.11, 2291.03)","(1640.67, 2938.24, 6539.79, 10867.23, 6868.54, 5132.48, 3244.48, 8236.51, 4088.82, 2214.76, 1787.01, 1681.24, 2178.71, 2008.14)","(42350.35, 19148.54, 14977.97, 6867.09, 10987.32, 5253.92, 5692.48, 3606.35, 4220.31, 2601.91)","(584.24, 2075.26, 1509.25, 2012.53, 1378.18, 811.89, 860.83, 751.11)","(311.97, -220.19, 1397.66, 1294.06, 2853.12, 4750.59, 5985.11, 4009.84, 17135.55, 6386.63, 3404.4, 2393.52, 1671.05, 1992.93, 381.01, 554.26, 13938.35, 14953.71, 13856.34, 15954.36, 12217.35, 10341.6, 12759.64, 81829.32, 50649.43, 48328.35, 17093.31, 10064.92, 7723.72, 6129.37, 4917.11, 2291.03, 1640.67, 2938.24, 6539.79, 10867.23, 6868.54, 5132.48, 3244.48, 8236.51, 4088.82, 2214.76, 1787.01, 1681.24, 2178.71, 2008.14, 42350.35, 19148.54, 14977.97, 6867.09, 10987.32, 5253.92, 5692.48, 3606.35, 4220.31, 2601.91, 584.24, 2075.26, 1509.25, 2012.53, 1378.18, 811.89, 860.83, 751.11)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"8",0.7062,352344,436331.188,1511195,1890554.75,204198,261598.375,2173.88525,426.452789,2127.32568,8218.06934,1240.99268,44801.7344,1603.32837,14278.6572,596.433105,6562.43359,5286.98779,1070.92041,177.964874,-1504.3854,541.066284,1279.12305,172.875824,9199.25781,224.191711,61.1966095,7384.26221,"(-37.8, 159.5, 1133.24, 1405.33, 2265.33, 3275.05, 5503.51, 3792.9, 10311.29, 3780.63, 1217.13, 1534.76, 1926.55, 2230.6, 2362.99, 932.39)","(6405.57, 8850.42, 8610.76, 11359.85, 10153.38, 8812.59, 10585.18, 48109.26, 29308.03, 28814.3, 10158.52, 9267.47, 17341.05, 12075.81, 11358.55, 5458.02)","(8058.53, 7180.43, 9468.11, 7366.25, 5691.56, 4129.87, 2235.71, 1570.79, 1984.5, 1470.32, 650.16, 2911.02, 4715.89, 4633.83)","(22914.01, 10946.58, 8684.41, 3726.73, 3262.76, 2720.39, 3358.59, 4036.36, 12230.25, 6187.4)","(405.9, 839.6, 2224.96, 4266.95, 3189.11, 5710.33, 9746.43, 4772.17)","(-37.8, 159.5, 1133.24, 1405.33, 2265.33, 3275.05, 5503.51, 3792.9, 10311.29, 3780.63, 1217.13, 1534.76, 1926.55, 2230.6, 2362.99, 932.39, 6405.57, 8850.42, 8610.76, 11359.85, 10153.38, 8812.59, 10585.18, 48109.26, 29308.03, 28814.3, 10158.52, 9267.47, 17341.05, 12075.81, 11358.55, 5458.02, 8058.53, 7180.43, 9468.11, 7366.25, 5691.56, 4129.87, 2235.71, 1570.79, 1984.5, 1470.32, 650.16, 2911.02, 4715.89, 4633.83, 22914.01, 10946.58, 8684.41, 3726.73, 3262.76, 2720.39, 3358.59, 4036.36, 12230.25, 6187.4, 405.9, 839.6, 2224.96, 4266.95, 3189.11, 5710.33, 9746.43, 4772.17)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"9",0.82569999,653196,759576.25,1231847,1558678.25,386223,465238.813,2561.84839,1118.36401,2475.604,14453.8359,1465.00537,1557.28052,388.512512,9000.20605,157.981308,2511.96362,10195.0029,1175.37683,500.245483,-989.54089,43178.6953,1427.01672,3336.77466,4924.771,431.315918,-128.3111,10638.5303,"(107.5, -158.43, 1313.9, 1590.49, 2527.39, 4161.52, 7152.91, 4170.34, 3684.54, 2647.33, 986.29, 803.65, 1475.07, 2235.43, 1708.69, 1466.41)","(1971.6, 3735.18, 6906.94, 16273.53, 15949.31, 12446.46, 13169.53, 8573.72, 6713.25, 10249.27, 3712.05, 5320.66, 9765.76, 7531.94, 6763.25, 3580.54)","(4110.26, 4698.12, 11810.22, 12899.84, 13851.91, 24334.55, 10801.58, 8828.36, 7693.43, 4152.4, 2501.46, 3412.5, 3757.62, 3117.32)","(15776.96, 20749.95, 44308.81, 18261.49, 13772.37, 11953.67, 12535.57, 6245.45, 10861.71, 6172.84)","(784.09, 1153.8, 1759.55, 2971.26, 2706.62, 5673.85, 12555.7, 5083.23)","(107.5, -158.43, 1313.9, 1590.49, 2527.39, 4161.52, 7152.91, 4170.34, 3684.54, 2647.33, 986.29, 803.65, 1475.07, 2235.43, 1708.69, 1466.41, 1971.6, 3735.18, 6906.94, 16273.53, 15949.31, 12446.46, 13169.53, 8573.72, 6713.25, 10249.27, 3712.05, 5320.66, 9765.76, 7531.94, 6763.25, 3580.54, 4110.26, 4698.12, 11810.22, 12899.84, 13851.91, 24334.55, 10801.58, 8828.36, 7693.43, 4152.4, 2501.46, 3412.5, 3757.62, 3117.32, 15776.96, 20749.95, 44308.81, 18261.49, 13772.37, 11953.67, 12535.57, 6245.45, 10861.71, 6172.84, 784.09, 1153.8, 1759.55, 2971.26, 2706.62, 5673.85, 12555.7, 5083.23)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
"10",0.86210001,274468,382017.375,535472,673445.5,98191,150053.734,734.605286,-1365.5713,4153.39355,13999.9951,873.197815,59939.3164,344.226807,4239.46045,95.5056152,6630.26172,2358.43604,1020.07214,630.309021,-4451.4131,802.365356,1249.11609,1204.72827,10413.4248,220.933167,445.397644,6848.09912,"(-560.23, 499.33, 730, 988.44, 866.19, 2537.4, 4322.77, 3266.47, 12198.77, 5076.65, 1826.54, 992.44, 1082.68, 1113.08, 1835.57, 782.37)","(5891.02, 8261.25, 12031.32, 16887.18, 16618.09, 12345.17, 14956.02, 64686.84, 38534.59, 35825.07, 11783.07, 6476.48, 7602.23, 5357.99, 6064.6, 2212.42)","(8296.96, 6373.98, 5571.56, 7807.97, 4604.63, 3729.19, 1039.01, 1005.99, 1535.02, 992.77, 946.92, 3610.37, 5745.61, 5481.75)","(28395.87, 13159.86, 11187.26, 5894.52, 3652.48, 3024.87, 3638.67, 3226, 12727.98, 6560.69)","(18.85, 514.83, 1063.49, 1701.07, 1913.72, 3935.36, 8273.08, 4388.83)","(-560.23, 499.33, 730, 988.44, 866.19, 2537.4, 4322.77, 3266.47, 12198.77, 5076.65, 1826.54, 992.44, 1082.68, 1113.08, 1835.57, 782.37, 5891.02, 8261.25, 12031.32, 16887.18, 16618.09, 12345.17, 14956.02, 64686.84, 38534.59, 35825.07, 11783.07, 6476.48, 7602.23, 5357.99, 6064.6, 2212.42, 8296.96, 6373.98, 5571.56, 7807.97, 4604.63, 3729.19, 1039.01, 1005.99, 1535.02, 992.77, 946.92, 3610.37, 5745.61, 5481.75, 28395.87, 13159.86, 11187.26, 5894.52, 3652.48, 3024.87, 3638.67, 3226, 12727.98, 6560.69, 18.85, 514.83, 1063.49, 1701.07, 1913.72, 3935.36, 8273.08, 4388.83)","20210507_FR_PRO_T1D_HU_AD_NBD_20210507_NBD-BRI002_13-21_CD3+.csv",NA,NA
